English,STL
a,'always ( e n g i n e _  s p e e d  < w )'
a,'always ( (not (e n g i n e _ s p e e d < o m e g a)) and (not (v e h i c l e _ s p e e d < v)) )'
a,'always ( (g e a r _ 2) and (eventually [0:EPSILON] (rise (g e a r _ 1))) -> always [0:2.5] (not (g e a r _ 2)) )'
a,'always ( rise (g e a r _ 1) -> always [0:2.5] (not fall ( g e a r _ 1 ) )'
a,'always ( rise (g e a r _ i) -> always [0:2.5] (not fall ( g e a r _ i ) )'
a,'always ( always (e n g i n e _ s p e e d < o m e g a) -> always [0:T] (not (v e h i c l e _ s p e e d  >  v)) )'
a,'eventually [0:T] ( (v e h i c l e _ s p e e d > v) and always (e n g i n e _ s p e e d < w) )'
a,'always ( ((g 1) until (g 2) until (g 3) until (g 4)) and (eventually [0:10] ((rise (g 4)) and (eventually [0:2] R P M > 2))) -> eventually [0:10] (g 4 -> eventually [0:EPSILON] ((g 4) until [0:1] (v e h i c l e _ s p e e d >= v))) )'
a,'always [0:100] ( not (always [0:1] (f u e l _ f l o w _ r a t e == 0)) )'
a,'always ( not (a i r _ t o _ f u e l _ r a t i o >= a i r _ t o  _ f u e l _ r a t i o _ m i n and a i r _ t o _ f u e l _ r a t i o <= a i r _ t o _ f u e l _ r a t i o _ m a x) -> eventually [0:1] (always [0:1] (a i r _ t o  _ f u e l _ r a t i o >= a i r _ t o  _ f u e l _ r a t i o _ m i n and a i r _ t o  _ f u e l _ r a t i o <= a i r _ t o _ f u e l _ r a t i o _ m a x)) )'
a,'always ( (c u r r e n t A D C S M o d e == N M C) or (c u r r e n t A D C S M o d e == N M F ) or (c u r r e n t A D C S M o d e == S M) )'
a,'always ( (p o i n t i n g E r r o r A b o v e 2 0 == 0) or (p o i n t i n g E r r o r A b o v e 2 0 == 1) )'
a,'always ( (p o i n t i n g E r r o r A b o v e 1 5 == 0) or (p o i n t i n g E r r o r A b o v e 1 5 == 1) )'
a,'always ( R W s _ a n g u l a r _ v e l o c i t y == 816.814 )'
a,'always [2000:INF] ( p o i n t i n g _ e r r o r < 2 )'
a,'always [1500:2000] ( R W s _ a n g u l a r _ m o m e n t u m < 0.35 )'
a,'always [2000:2000] ( p o i n t i n g _ e r r o r >= 0 and p o i n t i n g _ e r r o r <= d e l t a )'
a,'eventually [2000:7400] ( (SPIKE (p o i n t i n g _ e r r o r)) until [0:20] (fall (SPIKE (p o i n t i n g _ e r r o r))) )'
a,'always ( ABS (s a t _ i n i t _ a n g u l a r _ v e l o c i t y _ d e g r e e) <= 1.5 )'
a,'always ( ABS (s a t _ r e a l _ a n g u l a r _ v e l o c i t y) <= 1.5 )'
a,'always ( ABS (s a t _ t a r g e t _ a t t i t u d e) == 1 )'
a,'always ( ABS (s a t _ t a r g e t _ a t t i t u d e) <= 1.5 )'
a,'always ( ABS (s a t _ e s t i m a t e d _ a t t i t u d e) == 1 )'
a,'always ( ABS (s a t _ e s t i m a t e d _ a n g u l a r _ v e l o c i t y) <= 1.5 )'
a,'always ( ABS (s e t _ a n g u l a r _ v e l o c i t y _ m e a s u r e d) <= 1.5 )'
a,'always ( ABS (e a r t h _ m a g _ f i e l d _ i n _ b o d y _ m e a s u r e d) <= 60000 )'
a,'always ( ABS (s u n _ d i r e c t i o n _ E C I) == 1 )'
a,'always ( ABS (s a t _ t a r g e t _ a n g u l a r _ v e l o c i t y _ s a f e _ s p i n _ m o d e) <= 1.5 )'
a,'always ( ABS (R W s _ t o r q u e) == 0.015 )'
a,'always ( VECSUM (s u n _ s e n s o r _ v a i l a b i l i t y) <= 3 )'
a,'always [2000:2000] ( DIFF (q _ r e a l, q _ e s t i m a t e _ a t t i t u d e) >= 0 and DIFF (q _ r e a l, q _ e s t i m a t e _ a t t i t u d e) <= d e l t a )'
a,'always ( DIFF (s a t _ e s t i m a t e d _ a n g u l a r _ v e l o c i t y, s i g n a l _ s a t _ r e a l _ a n g u l a r _ v e l o c i t y) == 0 )'
a,'always ( DIFF (R W s _ t o r q u e - DERIVATIVE (R W s _ a n g u l a r _ m o m e n t u m)) == 0 )'
a,'always ( n o t _ E c l i p s e == 0 -> s u n _ c u r r e n t s == 0 )'
a,'always ( p o i n t i n g E r r o r U n d e r 1 5 == 1 -> ABS (DIFF (p o i n t i n g E r r o r U n d e r 1 5, p o i n t i n g E r r o r U n d e r 2 0)) == 1 )'
a,'always ( p o i n t i n g E r r o r U n d e r 2 0 == 1 -> ABS (DIFF (p o i n t i n g E r r o r U n d e r 2 0, p o i n t i n g E r r o r U n d e r 1 5)) == 1 )'
a,'always ( R W s _ c o m m a n d == 0 -> ((R W s _ a n g u l a r _ v e l o c i t y > 0) and (DERIVATIVE(R W s _ a n g u l a r _ v e l o c i t y) < 0)) until [0:60] (R W s _ a n g u l a r _ v e l o c i t y <= 0) )'
a,'always ( R W s _ a n g u l a r _ m o m e n t u m > 0.35 -> R W s _ t o r q u e == 0 )'
a,'always ( c u r r e n t A D C S M o d e == N M C -> c o n t r o l _ e r r o r >= 10 )'
a,'always ( c o n t r o l _ e r r o r < 10 -> c u r r e n t A D C S M o d e  == N M F )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> c o n t r o l _ e r r o r <= 15 )'
a,'always ( c u r r e n t A D C S M o d e == N M F -> ( rise (R W s _ c o m m a n d > 0) -> always [0:180] (p o i n t i n g _ e r r o r < 2) ) )'
